,year,price,mileage,engine_size,Automatic,Manual,Other_Transmission,Semi-Auto,Diesel,Hybrid,Other_Fuel,Petrol
284,2018.0,20885,22773.0,2.1,0,0,0,1,1,0,0,0
285,2014.0,25885,37000.0,6.2,0,0,0,1,0,0,0,1
286,2016.0,14965,30487.0,2.1,0,0,0,1,1,0,0,0
287,2017.0,16595,29814.0,2.1,1,0,0,0,1,0,0,0
288,2018.0,17940,28050.0,2.1,0,0,0,1,1,0,0,0
289,2018.0,19940,18882.0,2.1,0,0,0,1,1,0,0,0
290,2016.0,16498,27034.0,1.6,0,0,0,1,1,0,0,0
291,2016.0,14500,40620.0,1.6,0,0,0,1,1,0,0,0
292,2019.0,27791,9057.0,2.0,0,0,0,1,1,0,0,0
293,2019.0,26499,7060.0,2.0,0,0,0,1,1,0,0,0
294,2019.0,31990,4615.0,2.0,0,0,0,1,1,0,0,0
295,2018.0,20999,9250.0,1.5,0,0,0,1,0,0,0,1
296,2019.0,31999,1052.0,2.0,0,0,0,1,1,0,0,0
297,2017.0,17495,25149.0,2.0,0,0,0,1,0,0,0,1
298,2019.0,25495,5947.0,1.6,0,0,0,1,0,0,0,1
299,2019.0,36995,2749.0,2.0,1,0,0,0,1,0,0,0
300,2019.0,30999,7144.0,2.0,0,0,0,1,1,0,0,0
301,2019.0,29999,4843.0,2.0,0,0,0,1,1,0,0,0
302,2016.0,17880,44641.0,2.1,1,0,0,0,1,0,0,0
303,2016.0,13660,26682.0,2.1,0,1,0,0,1,0,0,0
304,2016.0,23920,18865.0,2.1,1,0,0,0,1,0,0,0
305,2017.0,22960,21225.0,2.1,0,0,0,1,1,0,0,0
306,2017.0,16590,52519.0,1.6,0,0,0,1,1,0,0,0
307,2017.0,17990,42000.0,2.1,0,0,0,1,1,0,0,0
308,2019.0,22270,3233.0,1.6,1,0,0,0,0,0,0,1
309,2016.0,22680,28535.0,2.1,0,0,0,1,1,0,0,0
310,2017.0,22440,32629.0,2.1,0,0,0,1,1,0,0,0
311,2016.0,17820,30748.0,2.1,0,0,0,1,1,0,0,0
312,2016.0,19290,17600.0,2.1,0,0,0,1,1,0,0,0
313,2016.0,16390,31360.0,2.1,0,0,0,1,1,0,0,0
314,2016.0,14450,19598.0,2.0,0,0,0,1,0,0,0,1
315,2016.0,17250,28192.0,2.1,1,0,0,0,1,0,0,0
316,2016.0,19690,38087.0,2.1,0,0,0,1,1,0,0,0
317,2017.0,19250,23523.0,2.1,0,0,0,1,1,0,0,0
318,2019.0,21980,7716.0,1.5,1,0,0,0,0,0,0,1
319,2019.0,23990,1647.0,1.5,1,0,0,0,0,0,0,1
320,2019.0,21980,5572.0,1.5,0,0,0,1,0,0,0,1
321,2019.0,27990,101.0,2.0,1,0,0,0,1,0,0,0
322,2015.0,16998,66796.0,2.1,0,0,0,1,0,1,0,0
323,2016.0,19698,41056.0,2.1,0,0,0,1,1,0,0,0
324,2015.0,15498,32140.0,2.1,0,1,0,0,1,0,0,0
325,2020.0,67999,1500.0,4.0,0,0,0,1,0,0,0,1
326,2020.0,34999,1500.0,1.5,0,0,0,1,0,0,0,1
327,2016.0,21299,12249.0,2.0,0,0,0,1,0,0,0,1
328,2017.0,17999,37564.0,2.0,0,0,0,1,0,1,0,0
329,2019.0,19999,14360.0,1.5,0,0,0,1,0,0,0,1
330,2017.0,21999,10288.0,2.0,0,0,0,1,0,0,0,1
331,2016.0,17699,43236.0,2.1,0,0,0,1,1,0,0,0
332,2016.0,14580,33113.0,2.1,0,0,0,1,1,0,0,0
333,2017.0,23990,19784.0,2.0,0,0,0,1,0,0,0,1
334,2019.0,28660,1610.0,2.0,1,0,0,0,1,0,0,0
335,2017.0,19490,31326.0,2.1,0,0,0,1,1,0,0,0
336,2017.0,21770,32790.0,2.1,0,0,0,1,1,0,0,0
337,2019.0,25990,11728.0,2.0,0,0,0,1,1,0,0,0
338,2019.0,28660,6282.0,2.0,1,0,0,0,1,0,0,0
339,2017.0,22590,41131.0,2.1,0,0,0,1,1,0,0,0
340,2017.0,22770,14052.0,2.1,1,0,0,0,1,0,0,0
341,2015.0,16480,44929.0,2.1,1,0,0,0,1,0,0,0
342,2018.0,27698,10579.0,2.0,0,0,0,1,1,0,0,0
343,2017.0,16499,30536.0,2.0,0,0,0,1,0,0,0,1
344,2019.0,19895,10985.0,1.5,0,0,0,1,0,0,0,1
345,2019.0,27595,11480.0,2.0,0,0,0,1,1,0,0,0
346,2019.0,25795,12986.0,2.0,0,0,0,1,1,0,0,0
347,2019.0,24499,3984.0,1.5,0,0,0,1,0,0,0,1
348,2019.0,30495,8771.0,2.0,0,0,0,1,0,0,0,1
349,2019.0,29999,1683.0,2.0,0,0,0,1,1,0,0,0
350,2018.0,27495,16347.0,2.0,0,0,0,1,1,0,0,0
351,2019.0,21795,6959.0,1.6,0,1,0,0,0,0,0,1
352,2013.0,9881,50591.0,1.6,1,0,0,0,0,0,0,1
353,2015.0,13498,14480.0,2.0,0,1,0,0,0,0,0,1
354,2019.0,24450,10471.0,2.0,0,0,0,1,1,0,0,0
355,2015.0,17450,37000.0,2.1,0,0,0,1,1,0,0,0
356,2016.0,14450,34000.0,2.1,0,0,0,1,1,0,0,0
357,2017.0,24990,22369.0,2.1,0,0,0,1,1,0,0,0
358,2015.0,16440,29286.0,2.1,0,0,0,1,1,0,0,0
359,2014.0,9891,52500.0,2.1,0,0,0,1,1,0,0,0
360,2015.0,16998,26273.0,2.0,0,0,0,1,0,0,0,1
361,2015.0,16710,48123.0,2.1,0,0,0,1,1,0,0,0
362,2017.0,22495,19779.0,2.1,1,0,0,0,1,0,0,0
363,2017.0,21565,39447.0,2.0,1,0,0,0,0,0,0,1
364,2017.0,21697,28272.0,2.0,0,0,0,1,0,0,0,1
365,2016.0,20990,20972.0,2.1,0,0,0,1,1,0,0,0
366,2016.0,14770,21745.0,2.0,0,0,0,1,0,0,0,1
367,2015.0,13448,31878.0,2.1,0,0,0,1,1,0,0,0
368,2014.0,15998,34382.0,2.1,0,0,0,1,1,0,0,0
369,2018.0,27498,12170.0,2.0,0,0,0,1,1,0,0,0
370,2016.0,19498,24111.0,2.0,0,0,0,1,0,1,0,0
371,2017.0,22498,22888.0,2.1,0,0,0,1,1,0,0,0
372,2016.0,20105,14965.0,2.1,1,0,0,0,1,0,0,0
373,2016.0,14220,45868.0,2.1,0,0,0,1,1,0,0,0
374,2017.0,22260,27637.0,2.1,0,0,0,1,1,0,0,0
375,2014.0,16990,32475.0,2.1,0,0,0,1,1,0,0,0
376,2019.0,41880,151.0,3.0,1,0,0,0,0,0,0,1
377,2019.0,30990,151.0,2.0,1,0,0,0,1,0,0,0
378,2019.0,28880,7324.0,1.5,1,0,0,0,0,0,0,1
379,2019.0,28990,2501.0,2.0,1,0,0,0,1,0,0,0
380,2016.0,18700,33237.0,2.1,0,0,0,1,1,0,0,0
381,2017.0,17440,63019.0,2.1,0,0,0,1,1,0,0,0
382,2016.0,17770,27306.0,2.1,0,0,0,1,1,0,0,0
383,2017.0,18433,34278.0,2.1,0,0,0,1,1,0,0,0
384,2016.0,21440,26600.0,2.1,0,0,0,1,1,0,0,0
385,2017.0,22170,19155.0,2.1,0,0,0,1,1,0,0,0
386,2017.0,21115,31538.0,2.1,0,0,0,1,1,0,0,0
387,2019.0,21497,3539.0,1.6,0,0,0,1,1,0,0,0
388,2019.0,28400,1287.0,2.0,0,0,0,1,1,0,0,0
389,2016.0,22765,25178.0,2.1,1,0,0,0,1,0,0,0
390,2018.0,22880,23061.0,2.1,0,0,0,1,1,0,0,0
391,2019.0,22455,3761.0,1.5,1,0,0,0,0,0,0,1
392,2017.0,17330,22684.0,2.1,0,0,0,1,1,0,0,0
